"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"133","12.243502s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","102809","2","8688","29312","33947 > 49200 [ACK] Seq=102809 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"134","12.243509s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","104257","2","10136","29312","33947 > 49200 [ACK] Seq=104257 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"135","12.243515s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","105705","2","11584","29312","33947 > 49200 [ACK] Seq=105705 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"136","12.243519s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","107153","2","13032","29312","33947 > 49200 [ACK] Seq=107153 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"137","12.243520s","0.000001s","192.168.0.42","192.168.0.41","TCP","66","2","104257","","152448","49200 > 33947 [ACK] Seq=2 Ack=104257 Win=152448 Len=0 TSval=4226904 TSecr=127201307"
"138","12.243524s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","108601","2","5792","29312","33947 > 49200 [ACK] Seq=108601 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"139","12.243530s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","110049","2","7240","29312","33947 > 49200 [ACK] Seq=110049 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"140","12.243536s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","111497","2","8688","29312","33947 > 49200 [ACK] Seq=111497 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"141","12.243542s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","112945","2","10136","29312","33947 > 49200 [ACK] Seq=112945 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"142","12.243548s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","114393","2","11584","29312","33947 > 49200 [ACK] Seq=114393 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
