Time,Source,Destination,Length,data len
4.245022s,10.1.2.1,10.2.2.1,1502,1428
4.245024s,10.2.2.1,10.1.2.1,62,
4.245142s,10.1.2.1,10.2.2.1,1502,1428
4.245262s,10.1.2.1,10.2.2.1,1502,1428
4.245264s,10.2.2.1,10.1.2.1,62,
4.245382s,10.1.2.1,10.2.2.1,1502,1428
4.245502s,10.1.2.1,10.2.2.1,1502,1428
4.245505s,10.2.2.1,10.1.2.1,62,
4.245622s,10.1.2.1,10.2.2.1,1502,1428
4.245743s,10.1.2.1,10.2.2.1,1502,1428
4.245745s,10.2.2.1,10.1.2.1,62,
4.245863s,10.1.2.1,10.2.2.1,1502,1428
4.245983s,10.1.2.1,10.2.2.1,1502,1428
4.245985s,10.2.2.1,10.1.2.1,62,
4.246103s,10.1.2.1,10.2.2.1,1502,1428
4.246223s,10.1.2.1,10.2.2.1,1502,1428
4.246226s,10.2.2.1,10.1.2.1,62,
4.246343s,10.1.2.1,10.2.2.1,1502,1428
4.246464s,10.1.2.1,10.2.2.1,1502,1428
4.246466s,10.2.2.1,10.1.2.1,62,
4.246584s,10.1.2.1,10.2.2.1,1502,1428
4.246704s,10.1.2.1,10.2.2.1,1502,1428
4.246706s,10.2.2.1,10.1.2.1,62,
4.246824s,10.1.2.1,10.2.2.1,1502,1428
4.246944s,10.1.2.1,10.2.2.1,1502,1428
4.246946s,10.2.2.1,10.1.2.1,62,
4.247064s,10.1.2.1,10.2.2.1,1502,1428
4.247184s,10.1.2.1,10.2.2.1,1502,1428
4.247187s,10.2.2.1,10.1.2.1,62,
4.247305s,10.1.2.1,10.2.2.1,1502,1428
4.247425s,10.1.2.1,10.2.2.1,1502,1428
4.247427s,10.2.2.1,10.1.2.1,62,
4.247545s,10.1.2.1,10.2.2.1,1502,1428
4.247665s,10.1.2.1,10.2.2.1,1502,1428
4.247667s,10.2.2.1,10.1.2.1,62,
4.247785s,10.1.2.1,10.2.2.1,1502,1428
4.247905s,10.1.2.1,10.2.2.1,1502,1428
4.247908s,10.2.2.1,10.1.2.1,62,
4.248026s,10.1.2.1,10.2.2.1,1502,1428
4.248146s,10.1.2.1,10.2.2.1,1502,1428
4.248148s,10.2.2.1,10.1.2.1,62,
4.248266s,10.1.2.1,10.2.2.1,1502,1428
4.248386s,10.1.2.1,10.2.2.1,1502,1428
4.248388s,10.2.2.1,10.1.2.1,62,
4.248506s,10.1.2.1,10.2.2.1,1502,1428
4.248626s,10.1.2.1,10.2.2.1,1502,1428
4.248629s,10.2.2.1,10.1.2.1,62,
4.248747s,10.1.2.1,10.2.2.1,1502,1428
4.248867s,10.1.2.1,10.2.2.1,1502,1428
4.248869s,10.2.2.1,10.1.2.1,62,
4.248987s,10.1.2.1,10.2.2.1,1502,1428
4.249107s,10.1.2.1,10.2.2.1,1502,1428
4.249109s,10.2.2.1,10.1.2.1,62,
4.249227s,10.1.2.1,10.2.2.1,1502,1428
4.249347s,10.1.2.1,10.2.2.1,1502,1428
4.249350s,10.2.2.1,10.1.2.1,62,
4.249468s,10.1.2.1,10.2.2.1,1502,1428
4.249588s,10.1.2.1,10.2.2.1,1502,1428
4.249590s,10.2.2.1,10.1.2.1,62,
4.249708s,10.1.2.1,10.2.2.1,1502,1428
4.249828s,10.1.2.1,10.2.2.1,1502,1428
4.249830s,10.2.2.1,10.1.2.1,62,
4.249948s,10.1.2.1,10.2.2.1,1502,1428
4.250068s,10.1.2.1,10.2.2.1,1502,1428
4.250071s,10.2.2.1,10.1.2.1,62,
4.250188s,10.1.2.1,10.2.2.1,1502,1428
4.250309s,10.1.2.1,10.2.2.1,1502,1428
4.250311s,10.2.2.1,10.1.2.1,62,
4.250429s,10.1.2.1,10.2.2.1,1502,1428
4.250549s,10.1.2.1,10.2.2.1,1502,1428
4.250551s,10.2.2.1,10.1.2.1,62,
4.250669s,10.1.2.1,10.2.2.1,1502,1428
4.250789s,10.1.2.1,10.2.2.1,1502,1428
4.250792s,10.2.2.1,10.1.2.1,62,
4.250909s,10.1.2.1,10.2.2.1,1502,1428
4.251030s,10.1.2.1,10.2.2.1,1502,1428
4.251032s,10.2.2.1,10.1.2.1,62,
4.251150s,10.1.2.1,10.2.2.1,1502,1428
4.251270s,10.1.2.1,10.2.2.1,1502,1428
4.251272s,10.2.2.1,10.1.2.1,62,
4.251390s,10.1.2.1,10.2.2.1,1502,1428
4.251510s,10.1.2.1,10.2.2.1,1502,1428
4.251513s,10.2.2.1,10.1.2.1,62,
4.251630s,10.1.2.1,10.2.2.1,1502,1428
4.251751s,10.1.2.1,10.2.2.1,1502,1428
