Time,Source,Destination,Length,data len
4.007999s,10.1.1.1,10.2.1.1,1502,1428
4.008001s,10.2.1.1,10.1.1.1,62,
4.008119s,10.1.1.1,10.2.1.1,1502,1428
4.008121s,10.2.1.1,10.1.1.1,62,
4.008239s,10.1.1.1,10.2.1.1,1502,1428
4.008241s,10.2.1.1,10.1.1.1,62,
4.008359s,10.1.1.1,10.2.1.1,1502,1428
4.008361s,10.2.1.1,10.1.1.1,62,
4.008479s,10.1.1.1,10.2.1.1,1502,1428
4.008482s,10.2.1.1,10.1.1.1,62,
4.008599s,10.1.1.1,10.2.1.1,1502,1428
4.008602s,10.2.1.1,10.1.1.1,62,
4.008720s,10.1.1.1,10.2.1.1,1502,1428
4.008722s,10.2.1.1,10.1.1.1,62,
4.008840s,10.1.1.1,10.2.1.1,1502,1428
4.008842s,10.2.1.1,10.1.1.1,62,
4.008960s,10.1.1.1,10.2.1.1,1502,1428
4.008962s,10.2.1.1,10.1.1.1,62,
4.009080s,10.1.1.1,10.2.1.1,1502,1428
4.009082s,10.2.1.1,10.1.1.1,62,
4.009200s,10.1.1.1,10.2.1.1,1502,1428
4.009202s,10.2.1.1,10.1.1.1,62,
4.009320s,10.1.1.1,10.2.1.1,1502,1428
