Time,Source,Destination,Length,data len
5.069483s,10.1.2.1,10.2.2.1,1502,1428
5.069532s,10.2.2.1,10.1.2.1,62,
5.069603s,10.1.2.1,10.2.2.1,1502,1428
5.069723s,10.1.2.1,10.2.2.1,1502,1428
5.069726s,10.2.2.1,10.1.2.1,62,
5.069844s,10.1.2.1,10.2.2.1,1502,1428
5.069964s,10.1.2.1,10.2.2.1,1502,1428
5.070060s,10.2.2.1,10.1.2.1,62,
5.070084s,10.1.2.1,10.2.2.1,1502,1428
5.070204s,10.1.2.1,10.2.2.1,1502,1428
5.070300s,10.2.2.1,10.1.2.1,62,
5.070324s,10.1.2.1,10.2.2.1,1502,1428
5.070444s,10.1.2.1,10.2.2.1,1502,1428
5.070540s,10.2.2.1,10.1.2.1,62,
